,2,3,4,5,6,7,8,9,10,A
21,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
20,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
19,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
18,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
17,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand,Stand
16,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
15,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
14,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
13,Stand,Stand,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
12,Hit,Hit,Stand,Stand,Stand,Hit,Hit,Hit,Hit,Hit
11,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
10,Double,Double,Double,Double,Double,Double,Double,Double,Hit,Hit
9,Hit,Double,Double,Double,Double,Hit,Hit,Hit,Hit,Hit
8,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
7,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
6,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
5,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit
4,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit,Hit